,contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,bid,volume
44,Z220225P00068000,68.0,USD,11.15,0.0,0.0,35,11.55,REGULAR,1645747200,1645732044,2.042973642578125,True,10.85,1.0
45,Z220225P00069000,69.0,USD,10.65,0.0,0.0,11,12.3,REGULAR,1645747200,1645627726,1.0000000000000003e-05,True,11.95,1.0
46,Z220225P00070000,70.0,USD,13.49,0.0,0.0,18,13.55,REGULAR,1645747200,1645730142,2.2968792578125,True,12.85,8.0
47,Z220225P00071000,71.0,USD,15.2,0.0,0.0,6,14.3,REGULAR,1645747200,1645715924,1.0000000000000003e-05,True,13.85,1.0
48,Z220225P00072000,72.0,USD,7.3,0.0,0.0,13,15.15,REGULAR,1645747200,1645112269,1.0000000000000003e-05,True,14.7,
49,Z220225P00073000,73.0,USD,17.65,0.0,0.0,12,16.55,REGULAR,1645747200,1645725724,2.6484408789062504,True,15.85,1.0
50,Z220225P00074000,74.0,USD,14.5,0.0,0.0,3,17.5,REGULAR,1645747200,1645544632,2.5156287109374995,True,17.1,2.0
51,Z220225P00075000,75.0,USD,20.35,0.0,0.0,5,18.25,REGULAR,1645747200,1645713989,1.0000000000000003e-05,True,17.95,5.0
52,Z220225P00078000,78.0,USD,23.2,0.0,0.0,2,21.2,REGULAR,1645747200,1645714015,1.0000000000000003e-05,True,20.8,1.0
53,Z220225P00079000,79.0,USD,22.65,0.0,0.0,1,22.5,REGULAR,1645747200,1645211767,3.0156274609375,True,21.85,2.0
54,Z220225P00080000,80.0,USD,21.6,0.0,0.0,28,23.7,REGULAR,1645747200,1645557163,3.941406396484375,True,23.05,7.0
55,Z220225P00085000,85.0,USD,26.3,0.0,0.0,1,28.4,REGULAR,1645747200,1645561682,1.0000000000000003e-05,True,27.65,2.0
56,Z220225P00090000,90.0,USD,30.7,0.0,0.0,0,33.4,REGULAR,1645747200,1645545031,1.0000000000000003e-05,True,32.7,1.0
57,Z220225P00095000,95.0,USD,35.75,0.0,0.0,0,38.5,REGULAR,1645747200,1645506156,4.343754570312499,True,37.85,
