,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
0,VOO220318P00240000,240.0,USD,0.3,0.0,0.0,10.0,10,0.0,0.0,REGULAR,1647561600,1643401336,0.500005,False
1,VOO220318P00275000,275.0,USD,0.2,0.0,0.0,,7,0.0,4.8,REGULAR,1647561600,1645023731,0.9219978503417969,False
2,VOO220318P00280000,280.0,USD,0.15,0.0,0.0,,4,0.0,0.75,REGULAR,1647561600,1644942358,0.6259803027343751,False
3,VOO220318P00285000,285.0,USD,0.28,0.0,0.0,3.0,9,0.0,0.75,REGULAR,1647561600,1645199446,0.5971719970703125,False
4,VOO220318P00290000,290.0,USD,0.27,0.0,0.0,,22,0.0,0.75,REGULAR,1647561600,1645130425,0.569340244140625,False
5,VOO220318P00300000,300.0,USD,0.35,0.0,0.0,,2,0.1,0.4,REGULAR,1647561600,1645125905,0.5190477783203125,False
6,VOO220318P00305000,305.0,USD,0.45,0.0,0.0,1.0,2,0.1,0.5,REGULAR,1647561600,1645128780,0.5097705273437501,False
7,VOO220318P00310000,310.0,USD,0.47,0.0,0.0,1.0,3,0.4,0.65,REGULAR,1647561600,1643898611,0.5046436254882812,False
8,VOO220318P00320000,320.0,USD,0.6,0.0,0.0,4.0,18,0.25,0.8,REGULAR,1647561600,1645540210,0.4655815161132813,False
9,VOO220318P00330000,330.0,USD,0.9,0.14999998,19.999998,4.0,4,0.65,1.05,REGULAR,1647561600,1645553681,0.4318904467773438,False
10,VOO220318P00335000,335.0,USD,0.78,-0.42000008,-35.000004,12.0,1,0.95,1.2,REGULAR,1647561600,1645542858,0.41431249755859373,False
11,VOO220318P00340000,340.0,USD,1.05,0.0,0.0,5.0,15,1.15,1.4,REGULAR,1647561600,1645551209,0.398443515625,False
12,VOO220318P00345000,345.0,USD,1.5,-0.049999952,-3.2258034,2.0,33,1.4,1.6,REGULAR,1647561600,1645553034,0.3802552209472656,False
13,VOO220318P00350000,350.0,USD,1.85,0.20000005,12.121215,19.0,164,1.7,2.0,REGULAR,1647561600,1645554353,0.37085590087890624,False
14,VOO220318P00355000,355.0,USD,2.15,0.05000019,2.3809617,36.0,46,2.15,2.4,REGULAR,1647561600,1645553419,0.35718416259765623,False
15,VOO220318P00360000,360.0,USD,2.8,0.45000005,19.14894,7925.0,146,2.65,2.85,REGULAR,1647561600,1645553998,0.3419865606689453,False
16,VOO220318P00365000,365.0,USD,3.42,0.52,17.931034,33.0,76,3.3,3.6,REGULAR,1647561600,1645554422,0.3342962078857422,False
17,VOO220318P00370000,370.0,USD,4.0,0.4000001,11.111114,7.0,159,4.1,4.3,REGULAR,1647561600,1645553566,0.3194648132324218,False
18,VOO220318P00375000,375.0,USD,5.1,0.5,10.869565,32.0,158,5.0,5.3,REGULAR,1647561600,1645553783,0.3089668713378906,False
19,VOO220318P00380000,380.0,USD,6.42,1.4700003,29.696978,50.0,164,6.1,6.5,REGULAR,1647561600,1645551986,0.2981637567138671,False
20,VOO220318P00385000,385.0,USD,6.7,-0.3800001,-5.3672333,19.0,193,7.5,7.8,REGULAR,1647561600,1645547586,0.2835459829711914,False
21,VOO220318P00390000,390.0,USD,9.2,1.5,19.48052,50.0,686,9.1,9.4,REGULAR,1647561600,1645554233,0.2695385546875,False
22,VOO220318P00395000,395.0,USD,9.8,0.40000057,4.2553253,36.0,90,11.0,11.3,REGULAR,1647561600,1645545370,0.25476819458007816,True
23,VOO220318P00400000,400.0,USD,13.45,2.1599998,19.131973,24.0,241,13.2,13.6,REGULAR,1647561600,1645554114,0.24048611083984373,True
24,VOO220318P00405000,405.0,USD,14.7,1.6999998,13.076921,94.0,100,15.9,16.2,REGULAR,1647561600,1645546693,0.2225419543457031,True
25,VOO220318P00410000,410.0,USD,19.2,3.2000008,20.000004,142.0,732,18.9,19.4,REGULAR,1647561600,1645553801,0.20752745605468748,True
26,VOO220318P00415000,415.0,USD,21.1,3.1499996,17.548744,13.0,63,22.5,23.1,REGULAR,1647561600,1645546637,0.19245192321777344,True
27,VOO220318P00420000,420.0,USD,24.52,1.4700012,6.3774457,2.0,39,26.5,27.1,REGULAR,1647561600,1645549531,0.16577982666015628,True
28,VOO220318P00425000,425.0,USD,23.75,0.0,0.0,5.0,12,30.7,32.2,REGULAR,1647561600,1645196743,0.19605296142578127,True
29,VOO220318P00430000,430.0,USD,28.5,0.0,0.0,3.0,179,35.6,36.6,REGULAR,1647561600,1645129362,0.11914943359374999,True
30,VOO220318P00435000,435.0,USD,18.99,0.0,0.0,5.0,0,39.9,42.5,REGULAR,1647561600,1644511422,0.26270268554687504,True
31,VOO220318P00440000,440.0,USD,27.1,0.0,0.0,7.0,1,44.5,46.3,REGULAR,1647561600,1644524930,1.0000000000000003e-05,True
32,VOO220318P00450000,450.0,USD,44.0,0.0,0.0,,1,55.3,56.2,REGULAR,1647561600,1644815413,1.0000000000000003e-05,True
33,VOO220318P00490000,490.0,USD,97.0,0.0,0.0,12.0,0,93.5,96.7,REGULAR,1647561600,1643041309,0.34961587890624996,True
