,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
0,VOO220318P00240000,240.0,USD,0.3,0.0,0.0,10.0,10,0.0,2.25,REGULAR,1647561600,1643401336,1.0432176745605473,False
1,VOO220318P00275000,275.0,USD,0.2,0.0,0.0,,7,0.0,2.2,REGULAR,1647561600,1645023731,0.7771018383789063,False
2,VOO220318P00280000,280.0,USD,0.2,0.0,0.0,1.0,5,0.0,2.2,REGULAR,1647561600,1644942358,0.7417018017578124,False
3,VOO220318P00285000,285.0,USD,0.2,0.0,0.0,2.0,9,0.05,2.25,REGULAR,1647561600,1645647604,0.7133817724609376,False
4,VOO220318P00290000,290.0,USD,0.25,0.0,0.0,54.0,72,0.05,1.2,REGULAR,1647561600,1645645575,0.6057168334960938,False
5,VOO220318P00300000,300.0,USD,0.7,0.29999998,74.99999,1.0,4,0.3,1.75,REGULAR,1647561600,1645727012,0.596683720703125,False
6,VOO220318P00305000,305.0,USD,1.0,0.55,122.22223,6.0,2,0.4,1.9,REGULAR,1647561600,1645715608,0.5773968041992188,False
7,VOO220318P00310000,310.0,USD,0.9,0.49999997,124.99999,3.0,4,0.65,1.1,REGULAR,1647561600,1645723879,0.5144091528320311,False
8,VOO220318P00320000,320.0,USD,1.14,0.78999996,225.71428,2.0,23,1.1,1.3,REGULAR,1647561600,1645727234,0.49219257812500006,False
9,VOO220318P00330000,330.0,USD,1.7,1.0,142.85713,4.0,8,1.5,1.7,REGULAR,1647561600,1645717969,0.4554497814941406,False
10,VOO220318P00335000,335.0,USD,1.9,0.79999995,72.727264,10.0,14,1.7,2.0,REGULAR,1647561600,1645725403,0.44006907592773437,False
11,VOO220318P00340000,340.0,USD,2.15,0.7500001,53.57144,23.0,39,2.1,2.3,REGULAR,1647561600,1645720191,0.4215756085205078,False
12,VOO220318P00345000,345.0,USD,3.0,1.77,143.90244,3.0,39,2.45,2.8,REGULAR,1647561600,1645717391,0.4101621484375,False
13,VOO220318P00350000,350.0,USD,3.5,1.4000001,66.66668,36.0,181,3.0,3.4,REGULAR,1647561600,1645723594,0.39856558471679693,False
14,VOO220318P00355000,355.0,USD,3.9,1.2,44.444447,19.0,159,3.6,4.0,REGULAR,1647561600,1645725211,0.38233039550781245,False
15,VOO220318P00360000,360.0,USD,4.7,1.2999997,38.235283,82.0,5885,4.4,4.7,REGULAR,1647561600,1645727206,0.3655458953857422,False
16,VOO220318P00365000,365.0,USD,5.5,1.1999998,27.906973,12.0,145,5.5,6.0,REGULAR,1647561600,1645727126,0.3632876171875,False
17,VOO220318P00370000,370.0,USD,6.9,1.7000003,32.692314,37.0,197,6.6,7.1,REGULAR,1647561600,1645727100,0.34802898071289057,False
18,VOO220318P00375000,375.0,USD,8.31,2.0100002,31.904766,157.0,933,8.1,8.6,REGULAR,1647561600,1645727049,0.3379582806396484,False
19,VOO220318P00380000,380.0,USD,10.0,2.02,25.313284,68.0,182,9.8,10.3,REGULAR,1647561600,1645725277,0.32617861328125,False
20,VOO220318P00385000,385.0,USD,11.9,2.12,21.676891,92.0,235,11.7,12.4,REGULAR,1647561600,1645727263,0.3172065350341796,True
21,VOO220318P00390000,390.0,USD,14.57,2.87,24.529915,8.0,1149,14.0,14.8,REGULAR,1647561600,1645718429,0.3076851458740234,True
22,VOO220318P00395000,395.0,USD,16.24,2.04,14.366198,6.0,101,16.6,17.5,REGULAR,1647561600,1645719400,0.29706513488769526,True
23,VOO220318P00400000,400.0,USD,20.2,3.0,17.44186,32.0,298,19.8,20.7,REGULAR,1647561600,1645718376,0.2906565075683593,True
24,VOO220318P00405000,405.0,USD,22.8,2.9899998,15.093386,3.0,146,23.4,24.4,REGULAR,1647561600,1645719520,0.28992409301757804,True
25,VOO220318P00410000,410.0,USD,28.2,4.200001,17.500002,5.0,337,27.3,28.5,REGULAR,1647561600,1645724206,0.2942575457763671,True
26,VOO220318P00415000,415.0,USD,36.1,14.999998,71.090034,9.0,74,31.5,33.0,REGULAR,1647561600,1645713568,0.3073189385986328,True
27,VOO220318P00420000,420.0,USD,36.23,5.2299995,16.870966,1.0,39,36.2,37.6,REGULAR,1647561600,1645722713,0.3202582623291015,True
28,VOO220318P00425000,425.0,USD,37.0,0.0,0.0,1.0,12,40.9,42.7,REGULAR,1647561600,1645647153,0.3534000207519531,True
29,VOO220318P00430000,430.0,USD,32.01,0.0,0.0,1.0,179,45.8,47.4,REGULAR,1647561600,1645626602,0.366217275390625,True
30,VOO220318P00435000,435.0,USD,18.99,0.0,0.0,5.0,0,50.2,52.3,REGULAR,1647561600,1644511422,0.38709109008789055,True
31,VOO220318P00440000,440.0,USD,59.0,7.700001,15.009748,20.0,21,56.0,57.4,REGULAR,1647561600,1645646816,0.4180356048583984,True
32,VOO220318P00450000,450.0,USD,44.0,0.0,0.0,,1,65.4,67.5,REGULAR,1647561600,1644815413,0.47290566162109376,True
33,VOO220318P00490000,490.0,USD,97.0,0.0,0.0,12.0,0,103.6,107.0,REGULAR,1647561600,1643041309,0.6125527026367189,True
