,contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume
0,AMZN220225C01700000,1700.0,USD,1506.29,0.0,0.0,1.0,1288.25,1294.35,REGULAR,1645747200,1644815526,2.6921419415283205,True,
1,AMZN220225C01950000,1950.0,USD,1049.0,0.0,0.0,1.0,1034.8,1045.35,REGULAR,1645747200,1643725873,2.019902411193848,True,
2,AMZN220225C01960000,1960.0,USD,1193.92,0.0,0.0,0.0,1026.1,1035.35,REGULAR,1645747200,1644267271,2.0452929727172853,True,11.0
3,AMZN220225C01970000,1970.0,USD,1226.0,0.0,0.0,,1016.75,1027.2,REGULAR,1645747200,1644815540,2.1029100161743157,True,
4,AMZN220225C02000000,2000.0,USD,1107.32,0.0,0.0,2.0,988.25,997.3,REGULAR,1645747200,1645022305,2.081059484863281,True,1.0
5,AMZN220225C02020000,2020.0,USD,1083.65,0.0,0.0,1.0,968.25,978.1,REGULAR,1645747200,1645129725,2.0571947984313965,True,
6,AMZN220225C02070000,2070.0,USD,1037.5,0.0,0.0,1.0,914.8,925.4,REGULAR,1645747200,1644866940,1.7717296569824215,True,
7,AMZN220225C02075000,2075.0,USD,1068.45,0.0,0.0,1.0,909.8,920.4,REGULAR,1645747200,1645038052,1.7615978717041016,True,
8,AMZN220225C02100000,2100.0,USD,927.4,0.0,0.0,5.0,888.3,898.1,REGULAR,1645747200,1643749136,1.8824468768310545,True,
9,AMZN220225C02125000,2125.0,USD,901.95,0.0,0.0,1.0,861.1,872.35,REGULAR,1645747200,1643985425,1.7556164562988283,True,1.0
10,AMZN220225C02140000,2140.0,USD,1111.0,0.0,0.0,2.0,844.85,855.45,REGULAR,1645747200,1644417094,1.6344012420654297,True,1.0
11,AMZN220225C02150000,2150.0,USD,1064.0,0.0,0.0,1.0,836.35,847.35,REGULAR,1645747200,1644001538,1.7103285968017576,True,1.0
12,AMZN220225C02210000,2210.0,USD,816.05,-97.69,-10.691225,6.0,776.25,787.4,REGULAR,1645747200,1644951772,1.5863668142700194,True,1.0
13,AMZN220225C02220000,2220.0,USD,808.35,0.0,0.0,5.0,766.25,777.4,REGULAR,1645747200,1643749136,1.566164278564453,True,
14,AMZN220225C02225000,2225.0,USD,803.4,0.0,0.0,5.0,759.9,770.5,REGULAR,1645747200,1643749136,1.471316119995117,True,
15,AMZN220225C02230000,2230.0,USD,798.45,0.0,0.0,5.0,756.65,767.35,REGULAR,1645747200,1643749136,1.554201447753906,True,
16,AMZN220225C02240000,2240.0,USD,983.05,0.0,0.0,3.0,748.4,758.2,REGULAR,1645747200,1644440278,1.5906392538452145,True,3.0
17,AMZN220225C02270000,2270.0,USD,753.0,-87.900024,-10.453088,4.0,716.3,727.5,REGULAR,1645747200,1645540267,1.4694850744628907,True,
18,AMZN220225C02275000,2275.0,USD,775.5,0.0,0.0,1.0,709.95,720.55,REGULAR,1645747200,1643985138,1.3782990069580074,True,1.0
19,AMZN220225C02340000,2340.0,USD,460.75,0.0,0.0,1.0,645.1,655.65,REGULAR,1645747200,1643383655,1.2622107202148438,True,1.0
20,AMZN220225C02370000,2370.0,USD,682.0,0.0,0.0,1.0,618.55,628.4,REGULAR,1645747200,1643985138,1.3328890777587887,True,1.0
21,AMZN220225C02400000,2400.0,USD,780.0,0.0,0.0,4.0,588.65,598.45,REGULAR,1645747200,1644504615,1.2755773526000973,True,1.0
22,AMZN220225C02420000,2420.0,USD,613.05,0.0,0.0,61.0,565.2,575.8,REGULAR,1645747200,1643985425,1.1193891687011717,True,1.0
23,AMZN220225C02450000,2450.0,USD,552.82,0.0,0.0,5.0,535.35,545.9,REGULAR,1645747200,1643736511,1.0695847302246095,True,
24,AMZN220225C02460000,2460.0,USD,596.5,0.0,0.0,1.0,527.1,537.85,REGULAR,1645747200,1645212281,1.12109814453125,True,1.0
25,AMZN220225C02500000,2500.0,USD,496.34,-8.550018,-1.6934417,11.0,489.0,498.8,REGULAR,1645747200,1645548258,1.088749673461914,True,2.0
26,AMZN220225C02550000,2550.0,USD,308.0,0.0,0.0,5.0,439.3,449.05,REGULAR,1645747200,1643921728,0.9981079290771484,True,1.0
27,AMZN220225C02580000,2580.0,USD,472.5,0.0,0.0,1.0,406.15,417.55,REGULAR,1645747200,1643985406,0.8733533172607422,True,1.0
28,AMZN220225C02590000,2590.0,USD,450.75,0.0,0.0,2.0,399.55,408.6,REGULAR,1645747200,1643985425,0.9169319830322267,True,2.0
29,AMZN220225C02600000,2600.0,USD,401.8,-74.25,-15.597101,14.0,389.6,399.55,REGULAR,1645747200,1645551002,0.9098519757080077,True,1.0
30,AMZN220225C02610000,2610.0,USD,471.35,0.0,0.0,6.0,379.95,389.6,REGULAR,1645747200,1645196569,0.894959546508789,True,6.0
31,AMZN220225C02620000,2620.0,USD,390.0,0.0,0.0,5.0,366.7,377.1,REGULAR,1645747200,1643736395,0.800233931274414,True,
32,AMZN220225C02630000,2630.0,USD,420.0,0.0,0.0,1.0,360.2,370.35,REGULAR,1645747200,1645216260,0.8668226208496093,True,1.0
33,AMZN220225C02640000,2640.0,USD,406.74,0.0,0.0,5.0,348.85,359.15,REGULAR,1645747200,1645211007,0.8172015350341795,True,4.0
34,AMZN220225C02650000,2650.0,USD,371.0,-67.06,-15.308405,77.0,338.2,347.5,REGULAR,1645747200,1645540259,0.7694114855957033,True,1.0
35,AMZN220225C02660000,2660.0,USD,479.55,0.0,0.0,1.0,327.45,339.3,REGULAR,1645747200,1645034023,0.7633080310058593,True,
36,AMZN220225C02680000,2680.0,USD,504.3,0.0,0.0,1.0,307.9,318.85,REGULAR,1645747200,1645109861,0.7246426461791992,True,
37,AMZN220225C02690000,2690.0,USD,491.0,0.0,0.0,2.0,299.9,310.25,REGULAR,1645747200,1645109160,0.7424036990356445,True,1.0
38,AMZN220225C02700000,2700.0,USD,301.5,-75.16,-19.954336,146.0,290.45,298.6,REGULAR,1645747200,1645548745,0.710940390625,True,2.0
39,AMZN220225C02710000,2710.0,USD,340.35,0.0,0.0,2.0,279.85,290.55,REGULAR,1645747200,1645212044,0.7048064187622071,True,2.0
40,AMZN220225C02720000,2720.0,USD,336.87,0.0,0.0,6.0,270.4,279.4,REGULAR,1645747200,1645216974,0.6787446676635743,True,1.0
41,AMZN220225C02725000,2725.0,USD,331.97,0.0,0.0,2.0,266.2,276.3,REGULAR,1645747200,1645216974,0.6944915805053712,True,1.0
42,AMZN220225C02730000,2730.0,USD,402.67,0.0,0.0,1.0,261.4,269.85,REGULAR,1645747200,1643992022,0.6725801785278321,True,2.0
43,AMZN220225C02740000,2740.0,USD,441.7,0.0,0.0,1.0,251.9,260.1,REGULAR,1645747200,1645111903,0.6590610266113281,True,
44,AMZN220225C02750000,2750.0,USD,254.74,-61.710007,-19.500711,129.0,240.7,251.3,REGULAR,1645747200,1645552788,0.6384923846435546,True,61.0
45,AMZN220225C02755000,2755.0,USD,332.02,0.0,0.0,1.0,237.45,247.75,REGULAR,1645747200,1644815612,0.6555820574951172,True,
46,AMZN220225C02760000,2760.0,USD,411.6,0.0,0.0,11.0,232.95,241.2,REGULAR,1645747200,1645111562,0.6362646237182618,True,2.0
47,AMZN220225C02765000,2765.0,USD,432.48,0.0,0.0,2.0,228.35,237.15,REGULAR,1645747200,1643908369,0.6368139346313476,True,1.0
48,AMZN220225C02770000,2770.0,USD,234.88,-165.85,-41.386967,20.0,223.2,231.7,REGULAR,1645747200,1645546803,0.6213111599731446,True,1.0
49,AMZN220225C02775000,2775.0,USD,395.83,0.0,0.0,15.0,218.9,225.9,REGULAR,1645747200,1645111748,0.6098671826171876,True,10.0
50,AMZN220225C02780000,2780.0,USD,225.53,-72.47,-24.318792,431.0,215.2,221.3,REGULAR,1645747200,1645546803,0.6125527026367189,True,3.0
51,AMZN220225C02785000,2785.0,USD,241.38,-38.98999,-13.90662,10.0,210.55,216.65,REGULAR,1645747200,1645540533,0.6070901107788086,True,2.0
52,AMZN220225C02790000,2790.0,USD,214.17,-103.8,-32.64459,80.0,205.85,211.9,REGULAR,1645747200,1645550085,0.6003152761840821,True,6.0
53,AMZN220225C02795000,2795.0,USD,207.93,-62.99002,-23.250412,14.0,201.35,207.4,REGULAR,1645747200,1645548727,0.5966532034301758,True,4.0
54,AMZN220225C02800000,2800.0,USD,207.74,-48.699997,-18.990795,117.0,196.9,202.75,REGULAR,1645747200,1645552788,0.5920145779418947,True,83.0
55,AMZN220225C02805000,2805.0,USD,199.14,-66.37999,-24.999998,6.0,192.3,198.4,REGULAR,1645747200,1645548008,0.5881694015502931,True,20.0
