,contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume
0,VOO220318C00310000,310.0,USD,110.08,0.0,0.0,3,73.7,76.1,REGULAR,"=TEXT(((1647561600 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1644815408 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.5734905932617188,True,
1,VOO220318C00330000,330.0,USD,76.21,0.0,0.0,1,54.3,57.0,REGULAR,"=TEXT(((1647561600 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1643224472 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.4974415490722657,True,1.0
2,VOO220318C00350000,350.0,USD,49.0,0.0,0.0,1,35.8,37.2,REGULAR,"=TEXT(((1647561600 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645560669 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.3610903735351562,True,2.0
3,VOO220318C00360000,360.0,USD,43.4,0.0,0.0,31,27.9,28.5,REGULAR,"=TEXT(((1647561600 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645214896 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.33551689880371094,True,31.0
4,VOO220318C00370000,370.0,USD,20.52,-21.599998,-51.282047,2,19.9,20.6,REGULAR,"=TEXT(((1647561600 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645720631 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.31427687683105465,True,2.0
5,VOO220318C00375000,375.0,USD,18.0,-8.1,-31.034485,41,16.3,17.0,REGULAR,"=TEXT(((1647561600 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645719653 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.30359583129882806,True,107.0
6,VOO220318C00380000,380.0,USD,14.0,-2.3500004,-14.37309,50,13.1,13.8,REGULAR,"=TEXT(((1647561600 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645726533 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.2959359957885742,True,10.0
7,VOO220318C00385000,385.0,USD,10.47,-2.5299997,-19.461536,12,10.1,10.7,REGULAR,"=TEXT(((1647561600 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645727200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.28232529205322265,False,21.0
8,VOO220318C00390000,390.0,USD,8.0,-1.6899996,-17.440657,16,7.4,8.0,REGULAR,"=TEXT(((1647561600 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645722584 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.26978269287109374,False,5.0
9,VOO220318C00395000,395.0,USD,5.5,-1.7800002,-24.45055,106,5.3,5.5,REGULAR,"=TEXT(((1647561600 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645727446 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.25165543273925783,False,82.0
