,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
0,T220225C00015000,15.0,USD,8.55,0.0,0.0,1,7,7.6,7.75,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645640974 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",2.6250034375,True
1,T220225C00017000,17.0,USD,6.95,0.0,0.0,2,8,5.65,5.75,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645540744 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.9062504687500001,True
2,T220225C00018000,18.0,USD,5.0,-0.9000001,-15.254238,1,85,4.65,4.7,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645714733 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
3,T220225C00019000,19.0,USD,3.7,-0.74999976,-16.853928,12,19,3.65,3.7,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645724823 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
4,T220225C00019500,19.5,USD,3.2,-0.85000014,-20.987658,2,31,3.15,3.25,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645727231 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.109379453125,True
5,T220225C00020000,20.0,USD,2.75,-1.0,-26.666666,8,26,2.63,2.72,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645720664 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
6,T220225C00020500,20.5,USD,3.05,0.0,0.0,2,11,1.14,2.66,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645648249 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.9453127734375002,True
7,T220225C00021000,21.0,USD,1.75,-0.8900001,-33.712124,10,65,1.66,1.73,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645725186 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.2500075,True
8,T220225C00021500,21.5,USD,1.28,-1.0899999,-45.99156,3,4,1.19,1.23,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645726678 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.2500075,True
9,T220225C00022000,22.0,USD,0.75,-0.78,-50.980392,44,3679,0.7,0.77,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645727188 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.38672488281249995,True
10,T220225C00022500,22.5,USD,0.34,-0.8299999,-70.94017,517,100,0.32,0.34,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645727220 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.3086006640625,True
11,T220225C00023000,23.0,USD,0.1,-0.48999998,-83.05085,7109,1114,0.09,0.1,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645726910 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.3086006640625,False
12,T220225C00023500,23.5,USD,0.02,-0.21000001,-91.30435,1177,2350,0.02,0.03,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645727117 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.35938140625,False
13,T220225C00024000,24.0,USD,0.01,-0.049999997,-83.33333,2404,11584,0.01,0.02,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645727024 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.4687553125,False
14,T220225C00024500,24.5,USD,0.01,0.0,0.0,673,9685,0.0,0.01,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645725649 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.5312546875,False
15,T220225C00025000,25.0,USD,0.01,0.0,0.0,145,6269,0.0,0.01,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645723602 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.5937540625000001,False
16,T220225C00025500,25.5,USD,0.01,0.0,0.0,118,3526,0.0,0.01,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645724115 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.6875031250000001,False
17,T220225C00026000,26.0,USD,0.01,0.0,0.0,6,1943,0.0,0.01,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645722469 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.7812521875,False
18,T220225C00026500,26.5,USD,0.01,0.0,0.0,55,4694,0.0,0.01,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645546512 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.87500125,False
19,T220225C00027000,27.0,USD,0.01,0.0,0.0,10,1459,0.0,0.01,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645714329 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.9687503125,False
20,T220225C00027500,27.5,USD,0.02,0.0,0.0,10,773,0.0,0.01,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645550547 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0625046875000002,False
