,contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume
0,VOO220318C00310000,310.0,USD,110.08,0.0,0.0,3,84.4,85.4,REGULAR,1647561600,1644815408,0.59570716796875,True,
1,VOO220318C00330000,330.0,USD,76.21,0.0,0.0,1,64.2,66.7,REGULAR,1647561600,1643224472,0.505742247314453,True,1.0
2,VOO220318C00350000,350.0,USD,46.0,-13.25,-22.36287,1,45.8,46.5,REGULAR,1647561600,1645553801,0.42407802490234375,True,1.0
3,VOO220318C00360000,360.0,USD,43.4,0.0,0.0,31,36.9,37.4,REGULAR,1647561600,1645214896,0.3869079864501953,True,31.0
4,VOO220318C00370000,370.0,USD,42.12,0.0,0.0,2,28.3,28.8,REGULAR,1647561600,1644944925,0.35443760803222646,True,
5,VOO220318C00375000,375.0,USD,26.1,-5.8999996,-18.437498,41,24.2,24.7,REGULAR,1647561600,1645546662,0.3380803497314453,True,4.0
6,VOO220318C00380000,380.0,USD,25.0,0.8999996,3.7344382,52,20.4,20.8,REGULAR,1647561600,1645543792,0.3223944714355468,True,1.0
7,VOO220318C00385000,385.0,USD,17.95,-15.049999,-45.606056,8,16.8,17.3,REGULAR,1647561600,1645551011,0.31153032226562494,True,3.0
8,VOO220318C00390000,390.0,USD,14.7,-9.7,-39.7541,5,13.4,13.7,REGULAR,1647561600,1644939421,0.2915109912109374,True,2.0
9,VOO220318C00395000,395.0,USD,10.6,-2.6899996,-20.24078,17,10.3,10.6,REGULAR,1647561600,1645554206,0.27649649291992184,False,31.0
10,VOO220318C00400000,400.0,USD,7.8,-2.3999996,-23.52941,48,7.6,7.9,REGULAR,1647561600,1645554188,0.26273320281982426,False,35.0
11,VOO220318C00405000,405.0,USD,5.95,-1.8500004,-23.717953,89,5.3,5.6,REGULAR,1647561600,1645551011,0.24915301635742187,False,22.0
12,VOO220318C00410000,410.0,USD,3.5,-1.5900002,-31.237722,256,3.4,3.7,REGULAR,1647561600,1645553801,0.23499300170898438,False,52.0
13,VOO220318C00415000,415.0,USD,2.1,-1.8000002,-46.15385,155,2.0,2.25,REGULAR,1647561600,1645553801,0.22113815979003904,False,81.0
14,VOO220318C00420000,420.0,USD,1.1,-0.85,-43.58974,123,1.05,1.3,REGULAR,1647561600,1645554010,0.2110064251708984,False,292.0
15,VOO220318C00425000,425.0,USD,0.6,-0.39999998,-39.999996,520,0.6,0.75,REGULAR,1647561600,1645554268,0.2059405578613281,False,35.0
16,VOO220318C00430000,430.0,USD,0.29,-0.23999998,-45.283016,370,0.3,0.35,REGULAR,1647561600,1645554126,0.19556468505859376,False,85.0
17,VOO220318C00435000,435.0,USD,0.25,-0.050000012,-16.66667,130,0.15,0.25,REGULAR,1647561600,1645552066,0.20313296874999998,False,28.0
18,VOO220318C00440000,440.0,USD,0.13,-0.07000001,-35.000004,143,0.15,0.2,REGULAR,1647561600,1645550592,0.21436332519531248,False,18.0
19,VOO220318C00445000,445.0,USD,0.25,0.040000007,19.047623,251,0.05,0.1,REGULAR,1647561600,1645549770,0.20996883789062498,False,5.0
20,VOO220318C00450000,450.0,USD,0.05,0.0,0.0,22,0.0,0.0,REGULAR,1647561600,1645216305,0.12500875,False,1.0
21,VOO220318C00455000,455.0,USD,0.05,-0.10000001,-66.66667,19,0.0,0.45,REGULAR,1647561600,1645540203,0.30445031494140623,False,1.0
22,VOO220318C00460000,460.0,USD,0.3,0.0,0.0,20,0.0,0.45,REGULAR,1647561600,1644599296,0.3227606787109374,False,1.0
23,VOO220318C00470000,470.0,USD,0.35,0.0,0.0,2,0.0,0.7,REGULAR,1647561600,1644940764,0.387701435546875,False,
