,contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume
0,SPY220222C00285000,285.0,USD,157.41,0.0,0.0,0,143.78,143.99,REGULAR,1645488000,1645024760,4.1972703784179695,True,
1,SPY220222C00300000,300.0,USD,142.91,0.0,0.0,2,128.71,128.93,REGULAR,1645488000,1645035007,3.691407021484375,True,
2,SPY220222C00310000,310.0,USD,131.17,0.0,0.0,10,118.67,118.98,REGULAR,1645488000,1645110212,3.4023452441406246,True,
3,SPY220222C00320000,320.0,USD,114.26,0.0,0.0,8,108.71,108.97,REGULAR,1645488000,1645216877,3.1259787475585936,True,8.0
4,SPY220222C00325000,325.0,USD,112.28,0.0,0.0,3,103.75,103.96,REGULAR,1645488000,1645130007,2.994143139648437,True,
5,SPY220222C00330000,330.0,USD,102.36,0.0,0.0,18,98.56,98.83,REGULAR,1645488000,1645207579,2.755862485351563,True,20.0
6,SPY220222C00335000,335.0,USD,102.3,0.0,0.0,12,93.45,93.73,REGULAR,1645488000,1645131012,2.5527379931640626,True,
7,SPY220222C00340000,340.0,USD,97.3,0.0,0.0,1,88.66,88.9,REGULAR,1645488000,1645194614,2.5371130322265625,True,1.0
8,SPY220222C00345000,345.0,USD,91.28,0.0,0.0,30,83.6,83.85,REGULAR,1645488000,1645214256,2.372074382324218,True,10.0
9,SPY220222C00350000,350.0,USD,78.83,-14.369995,-15.41845,7,78.7,78.94,REGULAR,1645488000,1645554541,2.28906677734375,True,4.0
10,SPY220222C00355000,355.0,USD,82.55,0.0,0.0,3,73.59,73.83,REGULAR,1645488000,1645129972,2.100590686035156,True,1.0
11,SPY220222C00360000,360.0,USD,75.6,0.0,0.0,18,68.61,68.93,REGULAR,1645488000,1645213174,2.000005,True,10.0
12,SPY220222C00363000,363.0,USD,68.85,-2.340004,-3.286984,10,65.44,65.87,REGULAR,1645488000,1645547372,1.8662116064453125,True,2.0
13,SPY220222C00365000,365.0,USD,82.14,0.0,0.0,9,63.72,64.01,REGULAR,1645488000,1643649618,1.9111332568359378,True,9.0
14,SPY220222C00367000,367.0,USD,74.18,0.0,0.0,10,61.81,62.06,REGULAR,1645488000,1645110579,1.88671931640625,True,
15,SPY220222C00368000,368.0,USD,66.17,0.0,0.0,6,60.57,60.87,REGULAR,1645488000,1645200238,1.7685558447265624,True,6.0
16,SPY220222C00370000,370.0,USD,60.83,-19.699997,-24.46293,3,58.71,58.91,REGULAR,1645488000,1645540516,1.755860595703125,True,1.0
17,SPY220222C00371000,371.0,USD,63.3,-1.5700035,-2.4202304,2,57.69,57.91,REGULAR,1645488000,1645543993,1.7255873095703125,True,1.0
18,SPY220222C00372000,372.0,USD,62.3,-6.4699974,-9.408169,3,56.57,57.14,REGULAR,1645488000,1645543993,1.7216810791015624,True,9.0
19,SPY220222C00373000,373.0,USD,68.19,0.0,0.0,5,55.25,55.93,REGULAR,1645488000,1645110579,1.5810567822265622,True,
20,SPY220222C00375000,375.0,USD,61.91,0.0,0.0,0,53.56,54.21,REGULAR,1645488000,1644865981,1.654298603515625,True,
21,SPY220222C00376000,376.0,USD,58.0,0.0,0.0,3,52.34,53.24,REGULAR,1645488000,1645204202,1.5908223583984373,True,6.0
22,SPY220222C00378000,378.0,USD,65.42,0.0,0.0,0,50.53,51.23,REGULAR,1645488000,1645024350,1.5732443212890623,True,
23,SPY220222C00379000,379.0,USD,57.22,0.0,0.0,10,49.68,50.02,REGULAR,1645488000,1645214789,1.53515857421875,True,10.0
24,SPY220222C00380000,380.0,USD,55.63,0.0,0.0,12,48.42,49.06,REGULAR,1645488000,1645215151,1.4672878198242185,True,4.0
25,SPY220222C00381000,381.0,USD,50.73,-15.460003,-23.357006,0,47.7,47.91,REGULAR,1645488000,1645549583,1.4658229833984375,True,3.0
26,SPY220222C00382000,382.0,USD,54.4,0.0,0.0,5,46.59,46.94,REGULAR,1645488000,1645214681,1.4248075634765625,True,5.0
27,SPY220222C00383000,383.0,USD,48.65,-4.239998,-8.016634,25,45.65,45.97,REGULAR,1645488000,1645548153,1.4155302661132816,True,12.0
28,SPY220222C00385000,385.0,USD,45.81,-3.1599998,-6.45293,1,43.48,44.16,REGULAR,1645488000,1645548941,1.3667023852539062,True,10.0
29,SPY220222C00387000,387.0,USD,47.23,-1.7099991,-3.4940727,20,41.53,42.19,REGULAR,1645488000,1645543456,1.3276400805664061,True,5.0
30,SPY220222C00388000,388.0,USD,49.24,0.0,0.0,5,40.64,41.0,REGULAR,1645488000,1645214571,1.2880894970703123,True,5.0
31,SPY220222C00389000,389.0,USD,45.23,0.0,0.0,8,39.55,39.81,REGULAR,1645488000,1645200228,1.2128945605468748,True,3.0
32,SPY220222C00390000,390.0,USD,41.07,-12.310001,-23.061073,50,38.77,38.97,REGULAR,1645488000,1645547934,1.2514685864257813,True,23.0
33,SPY220222C00391000,391.0,USD,37.78,-18.0,-32.269634,5,37.63,37.81,REGULAR,1645488000,1645554542,1.175297092285156,True,10.0
34,SPY220222C00392000,392.0,USD,42.4,0.0,0.0,6,36.74,36.99,REGULAR,1645488000,1645217237,1.1962930810546877,True,10.0
35,SPY220222C00394000,394.0,USD,34.79,-11.57,-24.956858,10,34.71,34.93,REGULAR,1645488000,1645554540,1.129398884277344,True,10.0
36,SPY220222C00395000,395.0,USD,36.31,-3.7599983,-9.3835745,6,33.63,33.89,REGULAR,1645488000,1645547881,1.083988955078125,True,5.0
37,SPY220222C00396000,396.0,USD,41.86,0.0,0.0,16,32.8,32.95,REGULAR,1645488000,1645128699,1.0922896948242187,True,
38,SPY220222C00397000,397.0,USD,39.82,0.0,0.0,8,31.73,31.89,REGULAR,1645488000,1645214148,1.0463914868164066,True,10.0
39,SPY220222C00398000,398.0,USD,36.23,0.0,0.0,10,30.6,30.87,REGULAR,1645488000,1645217905,0.9975586181640624,True,14.0
40,SPY220222C00399000,399.0,USD,43.04,0.0,0.0,3,29.71,29.88,REGULAR,1645488000,1645109447,0.9887696435546875,True,
41,SPY220222C00400000,400.0,USD,34.2,-1.5400009,-4.3089,257,28.56,28.91,REGULAR,1645488000,1645544282,0.9443364941406249,True,54.0
42,SPY220222C00402000,402.0,USD,34.27,0.0,0.0,11,26.73,26.89,REGULAR,1645488000,1645213020,0.91211025390625,True,2.0
43,SPY220222C00404000,404.0,USD,28.73,0.0,0.0,3,24.66,24.9,REGULAR,1645488000,1645209061,0.8500991552734375,True,3.0
44,SPY220222C00405000,405.0,USD,29.5,0.0,0.0,84,23.74,23.89,REGULAR,1645488000,1645200468,0.8320329296874999,True,1.0
45,SPY220222C00406000,406.0,USD,25.45,-3.08,-10.795653,1,22.7,22.86,REGULAR,1645488000,1645547332,0.795900478515625,True,4.0
46,SPY220222C00407000,407.0,USD,27.35,0.0,0.0,1,21.69,21.88,REGULAR,1645488000,1645200287,0.7695335546875001,True,1.0
47,SPY220222C00408000,408.0,USD,27.16,0.0,0.0,29,20.57,20.86,REGULAR,1645488000,1645202801,0.7246121289062499,True,9.0
48,SPY220222C00409000,409.0,USD,25.31,0.0,0.0,16,19.68,19.89,REGULAR,1645488000,1645216206,0.7143583251953125,True,46.0
49,SPY220222C00410000,410.0,USD,18.9,-6.25,-24.850895,111,18.64,18.84,REGULAR,1645488000,1645554215,0.6757844921875001,True,48.0
50,SPY220222C00411000,411.0,USD,22.16,-1.0,-4.3177896,3,17.58,17.95,REGULAR,1645488000,1645541831,0.6538120556640626,True,3.0
51,SPY220222C00412000,412.0,USD,17.82,-4.700001,-20.87034,14,16.72,16.9,REGULAR,1645488000,1645553472,0.6357458300781251,True,2.0
52,SPY220222C00413000,413.0,USD,20.23,0.0,0.0,11,15.69,15.86,REGULAR,1645488000,1645206897,0.5993692407226563,True,10.0
53,SPY220222C00414000,414.0,USD,20.79,0.0,0.0,112,14.53,14.85,REGULAR,1645488000,1645218826,0.5522505712890625,True,111.0
54,SPY220222C00415000,415.0,USD,14.25,-5.58,-28.139183,453,13.54,13.77,REGULAR,1645488000,1645553083,0.516606396484375,True,25.0
55,SPY220222C00416000,416.0,USD,14.02,-4.1399994,-22.797354,62,12.64,12.83,REGULAR,1645488000,1645553441,0.5043994873046875,True,5.0
56,SPY220222C00417000,417.0,USD,11.94,-5.3,-30.74246,9,11.77,12.03,REGULAR,1645488000,1645554306,0.5061084545898438,True,41.0
57,SPY220222C00418000,418.0,USD,11.66,-4.8199997,-29.247572,21,10.67,10.95,REGULAR,1645488000,1645552226,0.48389187988281257,True,15.0
58,SPY220222C00419000,419.0,USD,11.05,-5.089999,-31.53655,62,9.67,9.88,REGULAR,1645488000,1645552921,0.44043528320312497,True,146.0
59,SPY220222C00420000,420.0,USD,9.05,-6.04,-40.02651,541,8.79,8.93,REGULAR,1645488000,1645554314,0.41699801757812494,True,259.0
60,SPY220222C00421000,421.0,USD,7.93,-6.3800006,-44.58421,80,7.71,7.83,REGULAR,1645488000,1645554490,0.36817038085937503,True,107.0
61,SPY220222C00422000,422.0,USD,6.55,-6.1799994,-48.546738,17,6.87,6.98,REGULAR,1645488000,1645553819,0.3579165771484375,True,96.0
62,SPY220222C00423000,423.0,USD,5.85,-5.9900002,-50.591217,61,5.99,6.06,REGULAR,1645488000,1645553976,0.33423517333984376,True,575.0
63,SPY220222C00424000,424.0,USD,5.14,-5.8300004,-53.144943,97,5.05,5.12,REGULAR,1645488000,1645554448,0.305671005859375,True,306.0
64,SPY220222C00425000,425.0,USD,4.29,-6.1899996,-59.06488,321,4.14,4.18,REGULAR,1645488000,1645554448,0.274421318359375,True,882.0
65,SPY220222C00426000,426.0,USD,3.54,-6.1899996,-63.617676,226,3.42,3.47,REGULAR,1645488000,1645554550,0.26758544921875,True,979.0
66,SPY220222C00427000,427.0,USD,2.72,-6.29,-69.81132,103,2.67,2.71,REGULAR,1645488000,1645554489,0.24829853271484376,True,2409.0
67,SPY220222C00428000,428.0,USD,2.09,-6.0699997,-74.38725,351,1.99,2.01,REGULAR,1645488000,1645554567,0.22901161621093752,False,4088.0
68,SPY220222C00429000,429.0,USD,1.53,-5.4700003,-78.14286,447,1.52,1.54,REGULAR,1645488000,1645554592,0.22705851074218747,False,10426.0
69,SPY220222C00430000,430.0,USD,1.06,-5.64,-84.1791,1420,1.04,1.07,REGULAR,1645488000,1645554568,0.215828154296875,False,29814.0
70,SPY220222C00431000,431.0,USD,0.72,-5.3999996,-88.23529,1201,0.72,0.74,REGULAR,1645488000,1645554582,0.2111895288085937,False,35223.0
71,SPY220222C00432000,432.0,USD,0.48,-4.72,-90.76923,898,0.47,0.48,REGULAR,1645488000,1645554590,0.20533021240234373,False,72694.0
