,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
0,T220304C00015000,15.0,USD,8.52,0.0,0.0,1.0,96,8.25,8.4,REGULAR,03/03/2022,"02/28/2022, 13:19",1.5000025,True
1,T220304C00017000,17.0,USD,7.0,0.0,0.0,3.0,6,6.2,6.4,REGULAR,03/03/2022,"02/25/2022, 13:05",1.125004375,True
2,T220304C00018000,18.0,USD,5.45,0.0,0.0,2.0,23,5.2,5.35,REGULAR,03/03/2022,"02/28/2022, 14:11",1.0000000000000003e-05,True
3,T220304C00019000,19.0,USD,4.55,0.0,0.0,1.0,9,4.2,4.35,REGULAR,03/03/2022,"02/28/2022, 09:31",1.0000000000000003e-05,True
4,T220304C00019500,19.5,USD,4.05,0.0,0.0,1.0,11,3.75,3.95,REGULAR,03/03/2022,"02/28/2022, 13:51",1.0703171484375003,True
5,T220304C00020000,20.0,USD,3.35,-0.1500001,-4.285717,8.0,168,3.25,3.35,REGULAR,03/03/2022,"03/01/2022, 12:34",1.0000000000000003e-05,True
6,T220304C00020500,20.5,USD,3.55,0.0,0.0,3.0,7,2.74,2.91,REGULAR,03/03/2022,"02/25/2022, 12:15",0.6250037500000001,True
7,T220304C00021000,21.0,USD,2.65,-0.049999952,-1.85185,8.0,240,2.26,2.32,REGULAR,03/03/2022,"02/28/2022, 15:50",1.0000000000000003e-05,True
8,T220304C00021500,21.5,USD,1.75,-0.78999996,-31.102364,1.0,20,1.82,1.9,REGULAR,03/03/2022,"03/01/2022, 11:21",0.31250687499999996,True
9,T220304C00022000,22.0,USD,1.43,-0.31000006,-17.816095,3.0,58,1.31,1.44,REGULAR,03/03/2022,"03/01/2022, 11:20",0.4335994140625,True
10,T220304C00022500,22.5,USD,0.94,-0.33999997,-26.562498,61.0,243,0.91,0.98,REGULAR,03/03/2022,"03/01/2022, 12:33",0.38672488281249995,True
11,T220304C00023000,23.0,USD,0.54,-0.26999998,-33.333332,437.0,1564,0.53,0.56,REGULAR,03/03/2022,"03/01/2022, 12:34",0.3320379296875,True
12,T220304C00023500,23.5,USD,0.25,-0.19,-43.18182,1037.0,2863,0.24,0.25,REGULAR,03/03/2022,"03/01/2022, 12:35",0.304694453125,False
13,T220304C00024000,24.0,USD,0.08,-0.10000001,-55.555557,2142.0,16251,0.08,0.09,REGULAR,03/03/2022,"03/01/2022, 12:34",0.30274134765625,False
14,T220304C00024500,24.5,USD,0.03,-0.04,-57.142853,1297.0,7987,0.02,0.03,REGULAR,03/03/2022,"03/01/2022, 12:35",0.31641308593749995,False
15,T220304C00025000,25.0,USD,0.01,-0.02,-66.66667,222.0,8196,0.01,0.02,REGULAR,03/03/2022,"03/01/2022, 12:19",0.38281867187499996,False
16,T220304C00025500,25.5,USD,0.01,-0.01,-50.0,40.0,5139,0.0,0.01,REGULAR,03/03/2022,"03/01/2022, 12:24",0.42188078125,False
17,T220304C00026000,26.0,USD,0.01,0.0,0.0,4.0,6931,0.0,0.01,REGULAR,03/03/2022,"03/01/2022, 12:01",0.500005,False
18,T220304C00026500,26.5,USD,0.01,0.0,0.0,3.0,1049,0.0,0.01,REGULAR,03/03/2022,"03/01/2022, 09:31",0.51562984375,False
19,T220304C00027000,27.0,USD,0.01,0.0,0.0,24.0,925,0.0,0.01,REGULAR,03/03/2022,"02/25/2022, 14:48",0.5937540625000001,False
20,T220304C00027500,27.5,USD,0.01,0.0,0.0,9.0,10221,0.0,0.01,REGULAR,03/03/2022,"02/22/2022, 15:38",0.6562534375000001,False
21,T220304C00028000,28.0,USD,0.01,0.0,0.0,37.0,849,0.0,0.01,REGULAR,03/03/2022,"02/28/2022, 15:27",0.7187528125,False
22,T220304C00028500,28.5,USD,0.01,0.0,0.0,1.0,292,0.0,0.02,REGULAR,03/03/2022,"02/17/2022, 15:39",0.8437515624999999,False
23,T220304C00029000,29.0,USD,0.01,0.0,0.0,8.0,264,0.0,0.01,REGULAR,03/03/2022,"02/25/2022, 14:55",0.8125018749999999,False
24,T220304C00029500,29.5,USD,0.02,0.0,0.0,1.0,346,0.0,0.01,REGULAR,03/03/2022,"02/11/2022, 15:16",0.87500125,False
25,T220304C00030000,30.0,USD,0.02,0.0,0.0,1.0,325,0.0,0.01,REGULAR,03/03/2022,"02/17/2022, 10:13",0.937500625,False
26,T220304C00030500,30.5,USD,0.01,0.0,0.0,180.0,137,0.0,0.01,REGULAR,03/03/2022,"02/08/2022, 10:01",0.98437515625,False
27,T220304C00031000,31.0,USD,0.03,0.0,0.0,2.0,149,0.0,0.02,REGULAR,03/03/2022,"01/28/2022, 10:30",1.140629296875,False
28,T220304C00031500,31.5,USD,0.01,0.0,0.0,15.0,582,0.0,0.01,REGULAR,03/03/2022,"02/16/2022, 11:25",1.125004375,False
29,T220304C00032000,32.0,USD,0.01,0.0,0.0,,1,0.0,0.01,REGULAR,03/03/2022,"02/22/2022, 15:40",1.15625421875,False
30,T220304C00032500,32.5,USD,0.03,0.0,0.0,2.0,211,0.0,0.01,REGULAR,03/03/2022,"01/24/2022, 10:41",1.1875040625,False
